Assembly	species
GCF_000220665.1_Dfic_2.0	Drosophila ficusphila
GCA_018904525.1_ASM1890452v1	Drosophila erecta
GCF_003286155.1_DereRS2	Drosophila erecta
GCA_003286155.1_DereRS1	Drosophila erecta
GCF_000005135.1_dere_caf1	Drosophila erecta
GCA_018904475.1_ASM1890447v1	Drosophila mauritiana
GCF_004382145.1_ASM438214v1	Drosophila mauritiana
GCA_927718685.1_dmsj7_genome_assembly	Drosophila melanogaster
GCA_927717585.1_dmgoth101_genome_assembly	Drosophila melanogaster
GCA_927718715.1_dmsj23_genome_assembly	Drosophila melanogaster
GCA_927720205.1_dmgoth63_genome_assembly	Drosophila melanogaster
GCA_020169495.1_ASM2016949v1	Drosophila melanogaster
GCA_020141985.1_ASM2014198v1	Drosophila melanogaster
GCA_020142045.1_ASM2014204v1	Drosophila melanogaster
GCA_020142105.1_ASM2014210v1	Drosophila melanogaster
GCA_020142085.1_ASM2014208v1	Drosophila melanogaster
GCA_020142055.1_ASM2014205v1	Drosophila melanogaster
GCA_020142025.1_ASM2014202v1	Drosophila melanogaster
GCA_020142005.1_ASM2014200v1	Drosophila melanogaster
GCA_020141955.1_ASM2014195v1	Drosophila melanogaster
GCA_020141935.1_ASM2014193v1	Drosophila melanogaster
GCA_020141875.1_ASM2014187v1	Drosophila melanogaster
GCA_020141925.1_ASM2014192v1	Drosophila melanogaster
GCA_020141815.1_ASM2014181v1	Drosophila melanogaster
GCA_020141835.1_ASM2014183v1	Drosophila melanogaster
GCA_020141855.1_ASM2014185v1	Drosophila melanogaster
GCA_020141845.1_ASM2014184v1	Drosophila melanogaster
GCA_020141765.1_ASM2014176v1	Drosophila melanogaster
GCA_020141795.1_ASM2014179v1	Drosophila melanogaster
GCA_020141735.1_ASM2014173v1	Drosophila melanogaster
GCA_020141745.1_ASM2014174v1	Drosophila melanogaster
GCA_020141705.1_ASM2014170v1	Drosophila melanogaster
GCA_020141655.1_ASM2014165v1	Drosophila melanogaster
GCA_020141665.1_ASM2014166v1	Drosophila melanogaster
GCA_020141585.1_ASM2014158v1	Drosophila melanogaster
GCA_020141675.1_ASM2014167v1	Drosophila melanogaster
GCA_020141575.1_ASM2014157v1	Drosophila melanogaster
GCA_020141625.1_ASM2014162v1	Drosophila melanogaster
GCA_020141595.1_ASM2014159v1	Drosophila melanogaster
GCA_020141515.1_ASM2014151v1	Drosophila melanogaster
GCA_020141495.1_ASM2014149v1	Drosophila melanogaster
GCA_020141505.1_ASM2014150v1	Drosophila melanogaster
GCA_020141485.1_ASM2014148v1	Drosophila melanogaster
GCA_018904365.1_ASM1890436v1	Drosophila melanogaster
GCA_015852585.1_ASM1585258v1	Drosophila melanogaster
GCA_015832445.1_ASM1583244v1	Drosophila melanogaster
GCA_012273825.1_UCSC_dm_H3	Drosophila melanogaster
GCA_009869825.1_ASM986982v1	Drosophila melanogaster
GCA_004798075.2_ASM479807v2	Drosophila melanogaster
GCA_004798055.1_DGRP379	Drosophila melanogaster
GCA_004798075.1_DGRP732	Drosophila melanogaster
GCA_003397115.2_ASM339711v2	Drosophila melanogaster
GCA_003402005.1_ASM340200v1	Drosophila melanogaster
GCA_003401975.1_ASM340197v1	Drosophila melanogaster
GCA_003401925.1_ASM340192v1	Drosophila melanogaster
GCA_003401915.1_ASM340191v1	Drosophila melanogaster
GCA_003401885.1_ASM340188v1	Drosophila melanogaster
GCA_003401855.1_ASM340185v1	Drosophila melanogaster
GCA_003401805.1_ASM340180v1	Drosophila melanogaster
GCA_003401795.1_ASM340179v1	Drosophila melanogaster
GCA_003401745.1_ASM340174v1	Drosophila melanogaster
GCA_003401735.1_ASM340173v1	Drosophila melanogaster
GCA_003402015.1_ASM340201v1	Drosophila melanogaster
GCA_003402055.1_ASM340205v1	Drosophila melanogaster
GCA_003401685.1_ASM340168v1	Drosophila melanogaster
GCA_003397115.1_ASM339711v1	Drosophila melanogaster
GCA_002310775.1_ASM231077v1	Drosophila melanogaster
GCA_002310755.1_ASM231075v1	Drosophila melanogaster
GCA_002300595.1_Dmel_A4_1.0	Drosophila melanogaster
GCA_002050065.1_CA_8.1_PBcR	Drosophila melanogaster
GCA_001014345.1_ASM101434v1	Drosophila melanogaster
GCA_000778455.1_CA_8.2_MHAP	Drosophila melanogaster
GCF_000001215.4_Release_6_plus_ISO1_MT	Drosophila melanogaster
GCA_000705575.1_D._melanogaster_TruSeq_synthetic_long-read_assembly	Drosophila melanogaster
GCA_005876975.1_DoreRS1	Drosophila orena
GCF_016746245.2_Prin_Dsan_1.1	Drosophila santomea
GCF_016746245.1_Prin_Dsan_1.0	Drosophila santomea
GCA_018904445.1_ASM1890444v1	Drosophila sechellia
GCF_004382195.1_ASM438219v1	Drosophila sechellia
GCF_000005215.3_dsec_caf1	Drosophila sechellia
GCA_000525085.1_Dsim_referenceExtra	Drosophila sechellia
GCA_927717595.1_dsgoth31_genome_assembly	Drosophila simulans
GCA_927718705.1_dssj9_genome_assembly	Drosophila simulans
GCA_927717605.1_dsgoth613_genome_assembly	Drosophila simulans
GCA_927718675.1_dssj27_genome_assembly	Drosophila simulans
GCF_016746395.2_Prin_Dsim_3.1	Drosophila simulans
GCA_018904415.1_ASM1890441v1	Drosophila simulans
GCF_016746395.1_Prin_Dsim_3.0	Drosophila simulans
GCA_004382185.1_ASM438218v1	Drosophila simulans
GCF_000754195.2_ASM75419v2	Drosophila simulans
GCA_000259045.1_ASM25904v1	Drosophila simulans
GCF_000259055.1_dsim_caf1	Drosophila simulans
GCA_000820565.1_M252	Drosophila simulans
GCA_000180975.1_ASM18097v1	Drosophila simulans
GCA_000180955.1_ASM18095v1	Drosophila simulans
GCA_000180935.1_ASM18093v1	Drosophila simulans
GCA_000180915.1_ASM18091v1	Drosophila simulans
GCA_000180875.1_ASM18087v1	Drosophila simulans
GCA_000180855.1_ASM18085v1	Drosophila simulans
GCF_000754195.1_ASM75419v2	Drosophila simulans
GCA_000754195.1_ASM75419v1	Drosophila simulans
GCA_000525065.1_Dsim_tsimbazaza1.0	Drosophila simulans
GCF_016746235.2_Prin_Dtei_1.1	Drosophila teissieri
GCA_018903635.1_ASM1890363v1	Drosophila teissieri
GCA_018903625.1_ASM1890362v1	Drosophila teissieri
GCA_016746235.1_Prin_Dtei_1.0	Drosophila teissieri
GCA_016746335.2_Prin_Dyak_NY73PB_1.1	Drosophila yakuba
GCF_016746365.2_Prin_Dyak_Tai18E2_2.1	Drosophila yakuba
GCA_018904385.1_ASM1890438v1	Drosophila yakuba
GCA_016746335.1_Prin_Dyak_NY73PB_1.0	Drosophila yakuba
GCF_016746365.1_Prin_Dyak_Tai18E2_2.0	Drosophila yakuba
GCF_000005975.2_dyak_caf1	Drosophila yakuba
GCA_018905855.1_ASM1890585v1	Drosophila anomelani
GCA_008042795.1_UCB_Dasa_1.0	Drosophila asahinai
GCA_018905815.1_ASM1890581v1	Drosophila auraria
GCA_018874775.1_ASM1887477v1	Drosophila auraria
GCA_018874715.1_ASM1887471v1	Drosophila auraria
GCA_018874695.1_ASM1887469v1	Drosophila auraria
GCA_008042615.1_UCB_Daur_1.0	Drosophila auraria
GCA_018874675.1_ASM1887467v1	Drosophila baimaii
GCA_008044335.1_UCB_Dbak_1.0	Drosophila bakoue
GCA_018874595.1_ASM1887459v1	Drosophila barbarae
GCA_021223725.1_ASM2122372v1	Drosophila birchii
GCA_008042755.1_UCB_Dbir_1.0	Drosophila birchii
GCA_018905835.1_ASM1890583v1	Drosophila bocki
GCA_008042715.1_UCB_Dboc_1.0	Drosophila bocki
GCA_018905785.1_ASM1890578v1	Drosophila bocqueti
